state_abbr,year,lfp_sa
IN,2012,63.09166666666667
IN,2013,63.074999999999996
IN,2014,63.4
IN,2015,63.84166666666667
IN,2016,64.70833333333333
IN,2017,64.29166666666667
IN,2018,64.89999999999999
IN,2019,64.60000000000001
IA,2010,70.99166666666666
IA,2011,70.3
IA,2012,69.45833333333333
IA,2013,69.73333333333333
IA,2014,70.20833333333333
IA,2015,69.94166666666666
IA,2016,69.74166666666666
IA,2017,68.75
IA,2018,69.10000000000001
IA,2019,69.95833333333333
KS,2010,69.77499999999999
KS,2011,69.25833333333334
KS,2012,68.53333333333333
KS,2013,68.25
KS,2014,68.13333333333334
KS,2015,67.79166666666667
KS,2016,67.46666666666667
KS,2017,66.99166666666666
KS,2018,66.875
KS,2019,67.15833333333333
KY,2010,61.64166666666667
KY,2011,61.175000000000004
KY,2012,60.85833333333333
KY,2013,60.39166666666667
KY,2014,58.625
KY,2015,57.46666666666667
KY,2016,58.083333333333336
KY,2017,58.73333333333333
KY,2018,58.59166666666667
KY,2019,58.86666666666667
LA,2010,60.708333333333336
LA,2011,59.916666666666664
LA,2012,59.76666666666667
LA,2013,59.64166666666667
LA,2014,60.34166666666667
LA,2015,60.24166666666667
LA,2016,59.199999999999996
LA,2017,58.675000000000004
LA,2018,58.74166666666667
LA,2019,58.574999999999996
ME,2010,65.01666666666667
ME,2011,64.83333333333333
ME,2012,64.8
ME,2013,64.925
ME,2014,64.075
ME,2015,63.03333333333333
ME,2016,63.34166666666667
ME,2017,63.53333333333333
ME,2018,63.025
ME,2019,62.416666666666664
MD,2010,68.54166666666667
MD,2011,67.93333333333334
MD,2012,67.78333333333333
MD,2013,67.46666666666667
MD,2014,66.85000000000001
MD,2015,66.80833333333334
MD,2016,66.93333333333334
MD,2017,67.72500000000001
MD,2018,67.85000000000001
MD,2019,68.83333333333333
MA,2010,66.15833333333333
MA,2011,65.71666666666667
MA,2012,65.45833333333333
MA,2013,64.95833333333333
MA,2014,65.31666666666666
MA,2015,65.2
MA,2016,65.25
MA,2017,65.96666666666667
MA,2018,67.14166666666667
MA,2019,67.22500000000001
MI,2010,61.74166666666667
MI,2011,60.166666666666664
MI,2012,60.074999999999996
MI,2013,60.525
MI,2014,60.51666666666667
MI,2015,60.36666666666667
MI,2016,61.25
MI,2017,61.425000000000004
MI,2018,61.59166666666667
MI,2019,61.88333333333333
MN,2010,71.50833333333334
MN,2011,71.24166666666666
MN,2012,70.575
MN,2013,70.23333333333333
MN,2014,70.09166666666667
MN,2015,70.21666666666667
MN,2016,70.025
MN,2017,70.05833333333334
MN,2018,69.60000000000001
MN,2019,69.85000000000001
MS,2010,58.775
MS,2011,60.041666666666664
MS,2012,59.11666666666667
MS,2013,56.449999999999996
MS,2014,54.958333333333336
MS,2015,55.416666666666664
MS,2016,55.708333333333336
MS,2017,55.69166666666666
MS,2018,55.625
MS,2019,56.15
MO,2010,65.64166666666667
MO,2011,65.10833333333333
MO,2012,64.23333333333333
MO,2013,64.18333333333334
MO,2014,64.38333333333334
MO,2015,64.55
