state_abbr,year,lfp_sa,bachelors_share
FL,2016,59.349999999999994,28.6
FL,2017,59.35,29.7
FL,2018,59.28333333333333,30.4
GA,2010,64.20833333333333,27.2
GA,2011,64.08333333333333,27.6
GA,2012,63.833333333333336,27.9
GA,2013,62.90833333333333,28.1
GA,2014,62.10833333333333,28.6
GA,2015,61.09166666666667,29.9
GA,2016,62.4,30.5
GA,2017,63.800000000000004,30.9
GA,2018,63.25,31.9
HI,2010,63.291666666666664,29.4
HI,2011,62.916666666666664,28.1
HI,2012,61.25833333333333,28.2
HI,2013,60.800000000000004,30.3
HI,2014,61.63333333333333,30.0
HI,2015,61.725,31.4
HI,2016,62.10833333333333,31.9
HI,2017,62.041666666666664,32.9
HI,2018,61.51666666666667,33.5
ID,2010,65.60833333333333,25.6
ID,2011,65.04166666666667,26.7
ID,2012,64.84166666666667,26.7
ID,2013,64.53333333333335,27.2
ID,2014,63.48333333333333,26.1
ID,2015,63.84166666666667,26.0
ID,2016,63.93333333333334,27.6
ID,2017,63.974999999999994,26.8
ID,2018,64.13333333333334,27.7
IL,2010,66.66666666666667,30.9
IL,2011,66.01666666666667,31.0
IL,2012,65.875,31.4
IL,2013,65.41666666666667,31.8
IL,2014,64.83333333333333,32.5
IL,2015,64.77499999999999,32.9
IL,2016,65.28333333333333,34.0
IL,2017,64.61666666666666,34.4
IL,2018,64.66666666666667,35.1
IN,2010,63.96666666666667,23.0
IN,2011,63.78333333333333,23.3
IN,2012,63.09166666666667,23.2
IN,2013,63.074999999999996,23.4
IN,2014,63.4,24.2
IN,2015,63.84166666666667,24.9
IN,2016,64.70833333333333,25.6
IN,2017,64.29166666666667,26.8
IN,2018,64.89999999999999,27.1
IA,2010,70.99166666666666,24.7
IA,2011,70.3,25.3
IA,2012,69.45833333333333,25.7
IA,2013,69.73333333333333,25.4
IA,2014,70.20833333333333,26.8
IA,2015,69.94166666666666,26.8
IA,2016,69.74166666666666,28.4
IA,2017,68.75,28.9
IA,2018,69.10000000000001,29.0
KS,2010,69.77499999999999,29.8
KS,2011,69.25833333333334,29.9
KS,2012,68.53333333333333,30.0
KS,2013,68.25,30.8
KS,2014,68.13333333333334,31.0
KS,2015,67.79166666666667,31.7
KS,2016,67.46666666666667,32.8
KS,2017,66.99166666666666,33.7
KS,2018,66.875,33.8
KY,2010,61.64166666666667,20.1
KY,2011,61.175000000000004,20.7
KY,2012,60.85833333333333,21.2
KY,2013,60.39166666666667,22.2
KY,2014,58.625,21.5
KY,2015,57.46666666666667,23.3
KY,2016,58.083333333333336,23.4
KY,2017,58.73333333333333,24.0
KY,2018,58.59166666666667,24.8
LA,2010,60.708333333333336,20.5
LA,2011,59.916666666666664,20.3
LA,2012,59.76666666666667,21.0
LA,2013,59.64166666666667,21.3
LA,2014,60.34166666666667,21.8
LA,2015,60.24166666666667,23.2
LA,2016,59.199999999999996,23.4
LA,2017,58.675000000000004,23.8
LA,2018,58.74166666666667,24.3
ME,2010,65.01666666666667,25.8
ME,2011,64.83333333333333,27.4
ME,2012,64.8,26.5
ME,2013,64.925,26.7
ME,2014,64.075,28.1
ME,2015,63.03333333333333,30.1
ME,2016,63.34166666666667,30.1
ME,2017,63.53333333333333,32.1
ME,2018,63.025,31.5
MD,2010,68.54166666666667,36.5
MD,2011,67.93333333333334,36.8
MD,2012,67.78333333333333,36.9
MD,2013,67.46666666666667,36.7
MD,2014,66.85000000000001,38.1
MD,2015,66.80833333333334,38.8
MD,2016,66.93333333333334,39.3
MD,2017,67.72500000000001,39.7
MD,2018,67.85000000000001,40.8
MA,2010,66.15833333333333,39.3
MA,2011,65.71666666666667,39.8
MA,2012,65.45833333333333,39.4
